Phase,Step,Tokens,VRAM_MB
Generate,632,36947,20689.8
Generate,634,36949,20690.0
Generate,636,36951,20690.1
Generate,638,36953,20690.2
Generate,640,36955,20690.3
Generate,642,36957,20690.4
Generate,644,36959,20690.5
Generate,646,36961,20690.6
Generate,648,36963,20690.7
Generate,650,36965,20690.8
Generate,652,36967,20690.9
Generate,654,36969,20691.0
Generate,656,36971,20691.2
Generate,658,36973,20691.3
Generate,660,36975,20691.4
Generate,662,36977,20691.5
Generate,664,36979,20691.6
Generate,666,36981,20691.7
Generate,668,36983,20691.8
Generate,670,36985,20691.9
Generate,672,36917,20688.2
Generate,674,36919,20688.3
Generate,676,36921,20688.4
Generate,678,36923,20688.5
Generate,680,36925,20688.6
Generate,682,36927,20688.8
Generate,684,36929,20688.9
Generate,686,36931,20689.0
Generate,688,36933,20689.1
Generate,690,36935,20689.2
Generate,692,36937,20689.3
Generate,694,36939,20689.4
Generate,696,36941,20689.5
Generate,698,36943,20689.6
Generate,700,36945,20689.7
Generate,702,36947,20689.9
Generate,704,36949,20690.0
Generate,706,36951,20690.1
Generate,708,36953,20690.2
Generate,710,36955,20690.3
Generate,712,36957,20690.4
Generate,714,36959,20690.5
Generate,716,36961,20690.6
Generate,718,36963,20690.7
Generate,720,36965,20690.8
Generate,722,36967,20690.9
Generate,724,36969,20691.1
Generate,726,36971,20691.2
Generate,728,36973,20691.3
Generate,730,36975,20691.4
Generate,732,36977,20691.5
Generate,734,36979,20691.6
Generate,736,36981,20691.7
Generate,738,36983,20691.8
Generate,740,36985,20691.9
Generate,742,36987,20692.0
Generate,744,36989,20692.2
Generate,746,36991,20692.3
Generate,748,36993,20692.4
Generate,750,36995,20692.5
Generate,752,36997,20692.6
Generate,754,36999,20693.7
Generate,756,37001,20693.6
Generate,758,37003,20693.6
Generate,760,37005,20693.5
Generate,762,37007,20693.5
Generate,764,37009,20693.2
Generate,766,37011,20693.4
Generate,768,37013,20693.5
Generate,770,37015,20693.6
Generate,772,37017,20693.7
Generate,774,37019,20693.8
Generate,776,37021,20693.9
Generate,778,37023,20694.0
Generate,780,1,18920.8
Generate,782,36918,20688.3
Generate,784,36920,20688.4
Generate,786,36922,20688.5
Generate,788,36924,20688.6
Generate,790,36926,20688.7
Generate,792,36928,20688.8
Generate,794,36930,20688.9
Generate,796,36932,20689.0
Generate,798,36934,20689.1
Generate,800,36936,20689.3
Generate,802,36938,20689.4
Generate,804,36940,20689.5
Generate,806,36942,20689.6
Generate,808,36944,20689.7
Generate,810,36946,20689.8
Generate,812,36948,20689.9
Generate,814,36950,20690.0
Generate,816,36952,20690.1
Generate,818,36954,20690.2
Generate,820,36956,20690.3
Generate,822,36958,20690.5
Generate,824,36960,20690.6
Generate,826,36962,20690.7
Generate,828,36964,20690.8
Generate,830,36966,20690.9
Generate,832,36968,20691.0
Generate,834,36970,20691.1
Generate,836,1,18920.8
Generate,838,36914,20688.0
Generate,840,36916,20688.1
Generate,842,36918,20688.2
Generate,844,36920,20688.3
Generate,846,36922,20688.5
Generate,848,36924,20688.6
Generate,850,36926,20688.7
Generate,852,36928,20688.8
Generate,854,36930,20688.9
Generate,856,36932,20689.0
Generate,858,36934,20689.1
Generate,860,36936,20689.2
Generate,862,36938,20689.3
Generate,864,36940,20689.4
Generate,866,36942,20689.6
Generate,868,36944,20689.7
Generate,870,36946,20689.8
Generate,872,36948,20689.9
Generate,874,36950,20690.0
Generate,876,36952,20690.1
Generate,878,36917,20688.2
Generate,880,36919,20688.3
Generate,882,36921,20688.4
Generate,884,36923,20688.5
Generate,886,36925,20688.6
Generate,888,36927,20688.8
Generate,890,36929,20688.9
Generate,892,36931,20689.0
Generate,894,36933,20689.1
Generate,896,36935,20689.2
Generate,898,36937,20689.3
Generate,900,36939,20689.4
Generate,902,36941,20689.5
Generate,904,36943,20689.6
Generate,906,36945,20689.7
Generate,908,36947,20689.9
Generate,910,36949,20690.0
Generate,912,36951,20690.1
Generate,914,36953,20690.2
Generate,916,36955,20690.3
Generate,918,36957,20690.4
Generate,920,36959,20690.5
Generate,922,36961,20690.6
Generate,924,36963,20690.7
Generate,926,36965,20690.8
Generate,928,36967,20690.9
Generate,930,36969,20691.1
Generate,932,36971,20691.2
Generate,934,36973,20691.3
Generate,936,36975,20691.4
Generate,938,36927,20688.8
Generate,940,36929,20688.9
Generate,942,36931,20689.0
Generate,944,36933,20689.2
Generate,946,36935,20689.3
Generate,948,36937,20689.4
Generate,950,36939,20689.5
Generate,952,36941,20689.6
Generate,954,36943,20689.7
Generate,956,36945,20689.8
Generate,958,36947,20689.9
Generate,960,36949,20690.0
Generate,962,36951,20690.1
Generate,964,36953,20690.2
Generate,966,36955,20690.4
Generate,968,36957,20690.5
Generate,970,36959,20690.6
Generate,972,36961,20690.7
Generate,974,36963,20690.8
Generate,976,36965,20690.9
Generate,978,36967,20691.0
Generate,980,36969,20691.1
Generate,982,36971,20691.2
Generate,984,36973,20691.3
Generate,986,36975,20691.5
Generate,988,36977,20691.6
Generate,990,36979,20691.7
Generate,992,36981,20691.8
Generate,994,36983,20691.9
Generate,996,36985,20692.0
Generate,998,36987,20692.1
Generate,1000,36989,20692.2
Generate,1002,36991,20692.3
Generate,1004,36993,20692.4
Generate,1006,36995,20692.5
Generate,1008,36997,20692.7
Generate,1010,36999,20692.8
Generate,1012,37001,20692.9
Generate,1014,37003,20693.0
Generate,1016,37005,20693.7
Generate,1018,37007,20693.6
Generate,1020,37009,20693.6
Generate,1022,37011,20693.5
Generate,1024,37013,20693.5
Generate,1026,36923,20688.6
Generate,1028,36925,20688.7
Generate,1030,36927,20688.8
Generate,1032,36929,20688.9
Generate,1034,36931,20689.0
Generate,1036,36933,20689.1
Generate,1038,36935,20689.2
Generate,1040,36937,20689.3
Generate,1042,36939,20689.5
Generate,1044,36941,20689.6
Generate,1046,36943,20689.7
Generate,1048,36945,20689.8
Generate,1050,36947,20689.9
Generate,1052,36949,20690.0
Generate,1054,36951,20690.1
Generate,1056,36953,20690.2
Generate,1058,36955,20690.3
Generate,1060,36957,20690.4
Generate,1062,36959,20690.6
Generate,1064,36922,20688.5
Generate,1066,36924,20688.6
Generate,1068,36926,20688.7
Generate,1070,36928,20688.8
Generate,1072,36930,20689.0
Generate,1074,36932,20689.1
Generate,1076,36934,20689.2
Generate,1078,36936,20689.3
Generate,1080,36938,20689.4
Generate,1082,36940,20689.5
Generate,1084,36942,20689.6
Generate,1086,36944,20689.7
Generate,1088,1,18921.0
Generate,1090,36928,20688.9
Generate,1092,36923,20688.6
Generate,1094,36925,20688.7
Generate,1096,36927,20688.8
Generate,1098,36929,20688.9
Generate,1100,36931,20689.0
Generate,1102,36933,20689.1
Generate,1104,36935,20689.2
Generate,1106,36937,20689.3
Generate,1108,36939,20689.5
Generate,1110,36941,20689.6
Generate,1112,36943,20689.7
Generate,1114,36945,20689.8
Generate,1116,36947,20689.9
Generate,1118,36949,20690.0
Generate,1120,36951,20690.1
Generate,1122,36953,20690.2
Generate,1124,36955,20690.3
Generate,1126,36957,20690.4
Generate,1128,36959,20690.6
Generate,1130,36961,20690.7
Generate,1132,36963,20690.8
Generate,1134,36965,20690.9
Generate,1136,36967,20691.0
Generate,1138,36969,20691.1
Generate,1140,36971,20691.2
Generate,1142,36973,20691.3
Generate,1144,36975,20691.4
Generate,1146,36977,20691.5
Generate,1148,36979,20691.6
Generate,1150,36981,20691.8
Generate,1152,36983,20691.9
Generate,1154,36985,20692.0
Generate,1156,36987,20692.1
Generate,1158,36989,20692.2
Generate,1160,36991,20692.3
Generate,1162,36993,20692.4
Generate,1164,36995,20692.5
Generate,1166,36997,20692.6
Generate,1168,36928,20688.9
Generate,1170,36930,20689.0
Generate,1172,36932,20689.1
Generate,1174,36934,20689.2
Generate,1176,36936,20689.3
Generate,1178,36938,20689.4
Generate,1180,36940,20689.5
Generate,1182,36942,20689.7
Generate,1184,36944,20689.8
Generate,1186,36946,20689.9
Generate,1188,1,18920.9
Generate,1190,36920,20688.4
Generate,1192,36922,20688.5
Generate,1194,36924,20688.6
Generate,1196,36926,20688.7
Generate,1198,36928,20688.8
Generate,1200,36930,20688.9
Generate,1202,36932,20689.0
Generate,1204,36934,20689.2
Generate,1206,36936,20689.3
Generate,1208,36938,20689.4
Generate,1210,36923,20688.6
Generate,1212,36925,20688.7
Generate,1214,36927,20688.8
Generate,1216,36929,20688.9
Generate,1218,36931,20689.0
Generate,1220,36933,20689.1
Generate,1222,36935,20689.2
Generate,1224,36937,20689.3
Generate,1226,36939,20689.5
Generate,1228,36941,20689.6
Generate,1230,36943,20689.7
Generate,1232,36945,20689.8
Generate,1234,36947,20689.9
Generate,1236,36949,20690.0
Generate,1238,1,18920.9
Generate,1240,36921,20688.5
Generate,1242,36923,20688.6
Generate,1244,36925,20688.7
Generate,1246,36927,20688.8
Generate,1248,36929,20688.9
Generate,1250,36931,20689.0
Generate,1252,36933,20689.1
Generate,1254,36935,20689.2
Generate,1256,36937,20689.3
Generate,1258,36939,20689.4
Generate,1260,36941,20689.5
Generate,1262,36943,20689.7
Generate,1264,36945,20689.8
Generate,1266,36947,20689.9
Generate,1268,36949,20690.0
Generate,1270,36951,20690.1
Generate,1272,36953,20690.2
Generate,1274,36955,20690.3
Generate,1276,36957,20690.4
Generate,1278,36959,20690.5
Generate,1280,36961,20690.6
Generate,1282,36963,20690.7
Generate,1284,36965,20690.9
Generate,1286,36967,20691.0
Generate,1288,36969,20691.1
Generate,1290,36971,20691.2
Generate,1292,36973,20691.3
Generate,1294,1,18920.9
Generate,1296,36922,20688.5
Generate,1298,36926,20688.8
Generate,1300,36928,20688.9
Generate,1302,36930,20689.0
Generate,1304,36932,20689.1
Generate,1306,36934,20689.2
Generate,1308,36936,20689.3
Generate,1310,36938,20689.4
Generate,1312,36940,20689.5
Generate,1314,36942,20689.6
Generate,1316,36944,20689.8
Generate,1318,36946,20689.9
Generate,1320,36948,20690.0
Generate,1322,36950,20690.1
Generate,1324,36952,20690.2
Generate,1326,36954,20690.3
Generate,1328,36956,20690.4
Generate,1330,36958,20690.5
Generate,1332,36960,20690.6
Generate,1334,36962,20690.7
Generate,1336,36964,20690.8
Generate,1338,36966,20691.0
Generate,1340,36968,20691.1
Generate,1342,36970,20691.2
Generate,1344,36972,20691.3
Generate,1346,36974,20691.4
Generate,1348,36976,20691.5
Generate,1350,36978,20691.6
Generate,1352,1,18920.8
Generate,1354,36918,20688.3
Generate,1356,36918,20688.3
Generate,1358,36920,20688.4
Generate,1360,36922,20688.5
Generate,1362,36924,20688.6
Generate,1364,36926,20688.7
Generate,1366,36928,20688.8
Generate,1368,36930,20688.9
Generate,1370,36932,20689.0
Generate,1372,36934,20689.1
Generate,1374,36936,20689.3
Generate,1376,36938,20689.4
Generate,1378,36925,20688.7
Generate,1380,36927,20688.8
Generate,1382,36929,20688.9
Generate,1384,36931,20689.0
Generate,1386,36933,20689.1
Generate,1388,36935,20689.3
Generate,1390,36937,20689.4
Generate,1392,36939,20689.5
